max_depth	min_split	ganancia_promedio
3	1000	8718667
3	800	8738667
3	600	8738667
3	400	8738667
3	200	8738667
3	100	8547333
3	50	8652000
3	20	8642667
3	10	8366000
5	1000	10490667
5	800	10316667
5	600	10328667
5	400	10120667
5	200	9656667
5	100	9808000
5	50	8869333
5	20	9080667
5	10	9323333
7	1000	10155333
7	800	9615333
7	600	9490667
7	400	9198000
7	200	9114000
7	100	9402667
7	50	8310667
7	20	9384667
7	10	9594667
9	1000	10117333
9	800	9585333
9	600	9014667
9	400	8220667
9	200	7469333
9	100	7692667
9	50	7886667
9	20	9579333
9	10	9446667
11	1000	10117333
11	800	9548667
11	600	8896667
11	400	7699333
11	200	6282667
11	100	6194000
11	50	6762667
11	20	7893333
11	10	8607333
13	1000	10117333
13	800	9484000
13	600	8896667
13	400	7693333
13	200	6044000
13	100	5311333
13	50	6078667
13	20	6926000
13	10	7919333
15	1000	10117333
15	800	9484000
15	600	8896667
15	400	7693333
15	200	5917333
15	100	4530000
15	50	4901333
15	20	4956000
15	10	6914667
17	1000	10117333
17	800	9484000
17	600	8896667
17	400	7693333
17	200	5860000
17	100	4358667
17	50	4460000
17	20	3765333
17	10	5020000
19	1000	10117333
19	800	9484000
19	600	8896667
19	400	7693333
19	200	5860000
19	100	4082667
19	50	3805333
19	20	3082000
19	10	3592667
