fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 203542	-0.266463292176195	3975	1381	12	5	8639000	1
20220520 203625	-0.397894177018316	3415	1160	17	5	9045000	2
20220520 203657	-0.0935647680293186	5812	1298	6	5	8087000	3
20220520 203745	-0.562262562463002	1191	590	14	5	9712000	4
20220520 203822	-0.243502079529571	4208	732	7	5	8969000	5
20220520 203909	-0.806931754990364	1872	378	10	5	9310000	6
20220520 203952	-0.13823678780609	5036	1110	16	5	8623000	7
20220520 204036	-0.86589764275559	4664	1866	14	5	8002000	8
20220520 204112	-0.999961425113725	7916	875	15	5	8302000	9
20220520 204147	-0.490106822512462	6772	1530	9	5	7848000	10
20220520 204230	-0.731116371322423	2283	881	20	5	8864000	11
20220520 204300	-0.377244186640019	661	129	4	5	9034000	12
20220520 204322	0.0456797734150314	6078	262	19	5	0	13
20220520 204341	-0.694914281660749	7146	109	3	5	8302000	14
20220520 204443	-0.743317257391755	6109	41	19	5	7483000	15
20220520 204522	-0.495359570439905	4369	1467	19	5	8358000	16
20220520 204544	-0.489340147791828	1462	729	3	5	8690000	17
20220520 204634	-0.645873389077649	245	122	12	5	7899000	18
20220520 204719	-0.609928296621669	3954	568	11	5	8945000	19
20220520 204742	-0.895365711241706	1442	719	3	5	8690000	20
20220520 204835	-0.355984244683801	1202	596	16	5	9857000	21
20220520 204926	-0.999979617344637	1314	536	20	5	9717000	22
20220520 204945	-0.999845766992255	4962	389	3	5	8594000	23
20220520 205022	-0.324284041498951	1030	515	7	5	9416000	24
20220520 205114	-0.460998220822003	1181	587	20	5	9780000	25
20220520 205159	-0.831276155189497	1158	578	19	5	9711000	26
20220520 205241	-0.243688087186766	1756	877	16	5	9507000	27
20220520 205326	-0.952022681743102	2413	595	16	5	8788000	28
20220520 205412	-0.999929434119872	847	419	11	5	9349000	29
20220520 205450	-0.106434686973888	4008	2000	20	5	8340000	30
20220520 205540	-0.375843116993358	1407	701	16	5	9511000	31
20220520 205600	-0.706380144645224	5856	1017	3	5	8619000	32
20220520 205655	-0.6994324332124	1065	497	20	5	9761000	33
20220520 205716	-0.99988115398712	1967	1	3	5	8630000	34
20220520 205816	-0.415641004400609	989	491	16	5	9972000	35
20220520 205838	-0.253060316129508	4014	1003	3	5	8600000	36
20220520 205858	0.0983441671259789	2550	1269	18	5	0	37
20220520 210019	-0.329404671653731	4	1	20	5	7718000	38
20220520 210058	-0.416431224684506	7990	484	16	5	8302000	39
20220520 210135	-0.188600508216879	7993	2000	17	5	8302000	40
20220520 210221	-0.437293312120364	998	498	13	5	9958000	41
20220520 210309	-0.546019746649416	1043	506	20	5	9706000	42
20220520 210329	-0.741904752921703	1013	506	3	5	8690000	43
20220520 210415	-0.461874417746536	2009	475	15	5	9249000	44
20220520 210458	-0.580051276848845	1763	880	20	5	9506000	45
20220520 210539	-0.193081831361912	1463	729	9	5	9489000	46
20220520 210619	-0.351025552306202	1726	861	9	5	9652000	47
20220520 210738	-0.863771363893878	4	1	20	5	7718000	48
20220520 210825	-0.787162126963572	1148	567	20	5	9659000	49
20220520 210904	-0.248555205367946	7809	1079	12	5	8302000	50
20220520 210928	-0.999903334256275	2865	1431	4	5	8797000	51
20220520 211019	-0.435093977023149	1118	553	19	5	9693000	52
20220520 211107	-0.411331006625049	1066	530	11	5	9071000	53
20220520 211201	-0.457835950629447	713	356	16	5	9177000	54
20220520 211234	-0.202383995135318	5037	2000	6	5	8324000	55
20220520 211325	-0.235678176024345	970	195	14	5	8474000	56
20220520 211405	-0.830879551065733	2096	1048	9	5	9032000	57
20220520 211451	-0.71678610442292	1188	587	13	5	9780000	58
20220520 211524	-0.858508772973488	7999	537	8	5	8302000	59
20220520 211559	-0.999728181765273	7883	1998	20	5	8302000	60
20220520 211637	-0.261518468436372	5188	1190	20	5	8531000	61
20220520 211724	-0.804086669414157	1252	625	16	5	9248000	62
20220520 211759	-0.591037189645031	2138	1067	7	5	9140000	63
20220520 211841	-0.317768962478444	1924	961	13	5	9040000	64
20220520 211923	-0.999785369181828	7939	481	20	5	8302000	65
20220520 212006	-0.824488746083035	4962	494	13	5	8251000	66
20220520 212043	-0.218533058299121	2291	1131	8	5	9354000	67
20220520 212127	-0.428600110823206	1417	708	14	5	9685000	68
20220520 212208	-0.704940331581683	1778	853	10	5	9697000	69
20220520 212246	-0.547010872870897	2634	472	9	5	8817000	70
20220520 212327	-0.999759056893264	2392	1196	19	5	9650000	71
20220520 212408	-0.710104842493323	1182	590	9	5	9712000	72
20220520 212443	-0.999917773226309	5756	1998	9	5	8331000	73
20220520 212521	-0.999960949046011	1631	815	8	5	9674000	74
20220520 212601	-0.999958204295503	2395	1197	11	5	9653000	75
20220520 212647	-0.63049739249924	1184	589	20	5	9713000	76
20220520 212734	-0.413845161802502	1001	497	14	5	9959000	77
20220520 212802	-0.353578607886505	1802	892	5	5	8950000	78
20220520 212849	-0.314444519645274	954	470	14	5	9822000	79
20220520 212909	-0.161375743898676	8	1	3	5	8630000	80
20220520 212953	-0.603107726365731	1725	862	13	5	9652000	81
