fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220527 002731	-0.107888988789637	5562	1216	16	5	9519000	1
20220527 002826	-0.812425445586268	5339	582	13	5	9716000	2
20220527 002907	-0.417609602601442	4593	1731	6	5	9389000	3
20220527 003002	-0.568554559710901	3626	957	18	5	9317000	4
20220527 003038	-0.779873302360647	2903	372	5	5	9596000	5
20220527 003130	-0.307606292181299	3325	741	10	5	9344000	6
20220527 003218	-0.363892724527977	7167	1277	19	5	8259000	7
20220527 003322	-0.968767647304048	1477	498	16	5	10112000	8
20220527 003408	-0.874580551299732	6359	771	8	5	9173000	9
20220527 003439	-0.05510422365478	4497	215	4	5	9670000	10
20220527 003504	0.0698743892775384	7533	1993	5	5	0	11
20220527 003633	-0.649308829271467	6664	4	20	5	8019000	12
20220527 003724	-0.1472031932557	4701	1155	12	5	9440000	13
20220527 003802	-0.205290777236223	7509	299	6	5	8094000	14
20220527 003903	-0.260657919489313	4268	413	12	5	9648000	15
20220527 004006	-0.212465612473898	5766	275	16	5	9447000	16
20220527 004100	-0.998162081578904	3198	1598	15	5	9508000	17
