fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220523 225422	1444	10	75	39	5	11034000	1
20220523 230259	846	3	367	32	5	10395000	2
20220524 000035	1859	19	333	21	5	11023000	3
20220524 012539	1221	23	464	45	5	9542000	4
20220524 014828	1641	16	52	9	5	11745000	5
20220524 015521	280	21	156	16	5	10171000	6
20220524 022743	560	26	279	37	5	9768000	7
20220524 041142	2238	11	195	43	5	11222000	8
20220524 044423	918	14	406	27	5	10991000	9
20220524 044457	157	4	303	2	5	1224000	10
20220524 050545	2024	7	99	12	5	11572000	11
20220524 071834	2462	23	242	35	5	9813000	12
20220524 080059	1569	29	408	18	5	11112000	13
20220524 083213	484	14	186	50	5	10705000	14
20220524 084336	1015	27	1	6	5	10229000	15
20220524 085610	2135	2	490	25	5	9109000	16
20220524 094328	1828	28	1	14	5	9720000	17
20220524 100750	1663	3	87	23	5	10237000	18
20220524 105729	2500	12	13	10	5	11418000	19
20220524 111606	2500	1	100	47	5	6306000	20
20220524 122720	1492	12	197	32	5	11446000	21
20220524 132142	1976	12	96	16	5	11418000	22
20220524 142803	1198	12	286	40	5	11057000	23
20220524 152208	554	16	497	49	5	10283000	24
20220524 154652	1471	22	500	10	5	11995000	25
20220524 161157	2157	16	448	6	5	12018000	26
20220524 165222	1679	16	500	10	5	11844000	27
20220524 171142	1774	20	343	2	5	10885000	28
