fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220523 225422	1444	10	75	39	5	11034000	1
20220523 230259	846	3	367	32	5	10395000	2
20220524 000035	1859	19	333	21	5	11023000	3
20220524 012539	1221	23	464	45	5	9542000	4
20220524 014828	1641	16	52	9	5	11745000	5
20220524 015521	280	21	156	16	5	10171000	6
20220524 022743	560	26	279	37	5	9768000	7
20220524 041142	2238	11	195	43	5	11222000	8
20220524 044423	918	14	406	27	5	10991000	9
20220524 044457	157	4	303	2	5	1224000	10
20220524 050545	2024	7	99	12	5	11572000	11
20220524 071834	2462	23	242	35	5	9813000	12
20220524 080059	1569	29	408	18	5	11112000	13
20220524 083213	484	14	186	50	5	10705000	14
20220524 084336	1015	27	1	6	5	10229000	15
20220524 085610	2135	2	490	25	5	9109000	16
20220524 094328	1828	28	1	14	5	9720000	17
20220524 100750	1663	3	87	23	5	10237000	18
20220524 105729	2500	12	13	10	5	11418000	19
20220524 111606	2500	1	100	47	5	6306000	20
20220524 122720	1492	12	197	32	5	11446000	21
20220524 132142	1976	12	96	16	5	11418000	22
20220524 142803	1198	12	286	40	5	11057000	23
20220524 152208	554	16	497	49	5	10283000	24
20220524 154652	1471	22	500	10	5	11995000	25
20220524 161157	2157	16	448	6	5	12018000	26
20220524 165222	1679	16	500	10	5	11844000	27
20220524 171142	1774	20	343	2	5	10885000	28
20220524 180431	2178	15	293	10	5	11817000	29
20220524 183149	2393	11	500	7	5	11782000	30
20220525 023358	2383	18	500	8	5	11942000	31
20220525 030009	1109	24	500	16	5	11407000	32
20220525 032841	2090	17	500	9	5	11956000	33
20220525 034647	1429	30	500	8	5	12118000	34
20220525 041032	2322	30	500	6	5	12027000	35
20220525 043028	1697	27	500	7	5	11939000	36
20220525 045000	2225	11	115	6	5	11783000	37
20220525 113612	2105	14	500	39	5	11002000	38
20220525 121913	706	16	1	31	5	9353000	39
20220525 122237	100	30	500	21	5	10499000	40
20220525 124622	2247	23	500	6	5	11973000	41
20220525 130952	1513	30	433	9	5	11946000	42
20220525 151611	1830	14	223	50	5	10780000	43
20220525 153040	871	30	500	10	5	11929000	44
20220525 163111	1746	9	357	34	5	11174000	45
20220525 165534	1311	30	500	11	5	12048000	46
20220525 171525	1326	28	500	9	5	12088000	47
20220525 173603	2500	16	500	4	5	11614000	48
20220525 180048	1561	11	161	12	5	12041000	49
20220525 182858	1431	18	201	12	5	11425000	50
20220525 185335	1741	11	20	10	5	11460000	51
20220525 193128	1509	10	415	21	5	11786000	52
20220525 200323	2162	30	500	9	5	12322000	53
20220525 204859	2499	30	500	12	5	11569000	54
20220525 212657	856	7	242	50	5	10790000	55
20220525 220459	2277	14	441	12	5	11847000	56
20220525 223047	2045	30	500	8	5	11953000	57
20220525 230208	2205	28	500	9	5	12321000	58
20220525 231031	100	30	33	50	5	6213000	59
20220525 231955	511	30	499	12	5	11501000	60
20220525 233256	331	9	374	42	5	11025000	61
20220526 054648	2240	30	500	45	5	9824000	62
20220526 073827	2212	30	500	9	5	12326000	63
20220526 081022	2193	29	500	9	5	12323000	64
20220526 084212	2185	26	490	9	5	12194000	65
20220526 085751	1591	8	446	9	5	11674000	66
20220526 092033	680	30	500	21	5	10880000	67
